HandID,TourneyID,RawData,Seat,Player,StartingStack,
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 6: TXROPER1 (1590 in chips),6,TXROPER1,1590
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 7: Actex12 (1470 in chips),7,Actex12,1470
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 8: marmagoa (600 in chips),8,marmagoa,600
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:11:10 ET,1.93564E+11,2457182185,Seat 9: gildedlilly (640 in chips),9,gildedlilly,640
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:12:42 ET,1.93564E+11,2457182185,Seat 1: Goldor999 (990 in chips),1,Goldor999,990
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:12:42 ET,1.93564E+11,2457182185,Seat 2: PktRockets (1490 in chips),2,PktRockets,1490
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:12:42 ET,1.93564E+11,2457182185,Seat 4: surfcamp171 (1500 in chips),4,surfcamp171,1500
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:12:42 ET,1.93564E+11,2457182185,Seat 5: gu_tascheck (3040 in chips),5,gu_tascheck,3040
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:12:42 ET,1.93564E+11,2457182185,Seat 6: TXROPER1 (1560 in chips),6,TXROPER1,1560
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:12:42 ET,1.93564E+11,2457182185,Seat 7: Actex12 (1470 in chips) is sitting out,7,Actex12,1470
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:12:42 ET,1.93564E+11,2457182185,Seat 8: marmagoa (870 in chips),8,marmagoa,870
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:12:42 ET,1.93564E+11,2457182185,Seat 9: gildedlilly (610 in chips),9,gildedlilly,610
 8700+1300 Hold'em No Limit - Level II (15/30) - 2018/11/20 19:13:58 ET,1.93564E+11,2457182185,Seat 1: Goldor999 (975 in chips),1,Goldor999,975
